,trial_count,LF/HF(rest_before),LF/HF(task),LF/HF(rest_after),answer(q1),answer(q2),answer(q3),answer(q4),answer(q5),answer(q6),image_name
0,1,1.665329530928731,1.2655377595801771,1.5878070516459095,2,3,4,2,2,2,20191211_185222038_iOS.jpg
1,2,1.9348175042984836,1.4297500498112583,1.5890412007857433,5,5,5,5,5,4,20191211_185224526_iOS.jpg
2,3,1.2426119904768411,1.5827601161575326,1.6153307540245043,3,3,2,3,3,2,20191211_185226484_iOS.jpg
3,4,1.5870814443294785,1.2011645743376729,1.7462614838853003,5,3,2,5,5,4,20191211_185228458_iOS.jpg
4,5,1.341981330107883,1.6030833912331282,1.4608036678850402,2,2,2,2,4,2,20191211_185230473_iOS.jpg
5,6,1.5592867244380315,1.351508105108457,1.653283189677856,5,5,3,5,5,3,20191211_185232325_iOS.jpg
6,7,1.5302116438761315,1.544244391961433,1.7339247574358465,4,4,3,4,5,2,20191211_185234142_iOS.jpg
7,8,1.6578207548247856,1.3841155360619914,1.5982151391539263,5,5,4,4,4,4,20191211_185236059_iOS.jpg
8,9,1.4743008497297845,1.6337338994357098,1.4665711123804288,3,2,3,3,3,2,20191211_185237826_iOS.jpg
9,10,1.3218107609335674,1.9301704718584252,1.4002777770273465,4,3,4,4,3,3,20191211_185239544_iOS.jpg
